name;elevation;latitude;longitude;continent;country;range
Mount Kilimanjaro;5895;-3.06667;37.35;Africa;Tanzania;Northeast Tanzania
Mount Kenya;5199;-0.15;37.3;Africa;Kenya;East Central Kenya
Mawenzi;5149;-3.075833;37.353333;Africa;Tanzania;Northeast Tanzania
Mount Stanley;5109;0.383333;29.8667;Africa;Congo, Democratic Republic of the;Ruwenzori
Margherita;5109;0.380319;29.873639;Africa;Uganda/Congo, Democratic Republic of the;Ruwenzori
Mount Speke;4890;0.4;29.8833;Africa;Congo, Democratic Republic of the;Ruwenzori
Mount Baker;4843;0.366667;29.8833;Africa;Uganda;Ruwenzori
Mount Emin;4798;0.433333;29.9;Africa;Congo, Democratic Republic of the;Ruwenzori
Mount Gessi;4715;0.433333;29.9167;Africa;Congo, Democratic Republic of the;Ruwenzori
Mount Luigi;4626;0.333333;29.8833;Africa;Uganda;Ruwenzori
Mount Meru;4566;-3.244392;36.749999;Africa;Tanzania;Northeast Tanzania
Ras Dashen;4550;13.25;38.4;Africa;Ethiopia;
Mount Karisimbi;4507;-1.5;29.45;Africa;Rwanda/Congo, Democratic Republic of the;Virunga Mountains
Bwahit;4430;13.300469;38.327694;Africa;Ethiopia;
Mount Elgon;4321;1.13333;34.55;Africa;Uganda/Kenya;Central East Africa Plateau
Toubkal;4167;31.0611;-7.91547;Africa;Morocco;High Atlas
Muhabura;4127;-1.33333;29.6167;Africa;Rwanda/Uganda;
Cameroon Mountain;4070;4.2;9.18333;Africa;Cameroon;Cameroon Mountains
Inatye;4070;13.320808;38.323317;Africa;Ethiopia;
m'goun;4068;31.5111;-5.56972;Africa;Morocco;High Atlas
Imet Gogo;3926;13.328826;38.32499;Africa;Ethiopia;
Loolmalasin;3682;-2.83333;35.5833;Africa;Tanzania;Central East Africa Plateau
Angour;3616;31.1753;-7.8254;Africa;Morocco;High Atlas
Anghomar;3610;31.574404;-7.021079;Africa;Morocco;High Atlas
Champagne Castle;3600;-29.077638;29.329858;Africa;South Africa;Drakensberg
Gahinga;3525;-1.28333;30.0667;Africa;Rwanda/Uganda;Virunga Mountains
Thabana Ntlenyana;3482;-29.466667;29.266667;Africa;Lesotho;
Mafadi;3450;-29.2023;29.3571;Africa;South Africa;Drakensberg
Emi Koussi;3415;19.8333;18.5;Africa;Chad;Tibesti
Mont-aux-Sources;3282;-28.759081;28.884644;Africa;South Africa;Drakensberg
Giant's Castle;3280;-29.346053;29.482561;Africa;South Africa;Drakensberg
Piton des Neiges;3070;-21.0833;55.4833;Africa;Reunion;Reunion Island
Kinyeti;3185;3.946286;32.910258;Africa;Sudan;
Cathedral Peak;3004;-28.9167;29.15;Africa;South Africa;Drakensberg
Mulanje;3003;-15.9667;35.6333;Africa;Malawi;Malawi Highlands
Tahat;2918;23.3;5.53333;Africa;Algeria;Ahaggar Mountains
Ol'donyo Lengai;2896;-2.764444;35.916111;Africa;Tanzania;
Mount Longonot;2777;-0.915278;36.456944;Africa;Kenya;
Mount Sinai;2640;28.5167;33.95;Africa;Egypt;
Piton de la Fournaise;2631;-21.2333;55.7167;Africa;Reunion;Reunion Island
Binga;2437;-19.783333;33.066667;Africa;Mozambique;Zimbabwe Plateau
Sneeuberg;2027;-32.5167;19.1667;Africa;South Africa;Cape Ranges
Tafelberg;1969;-32.4167;19.2;Africa;South Africa;Cape Ranges
Mumpu;1951;-13.2;29.36;Africa;Zambia;Zambia Plateau
Jebel Uweinat;1934;21.9167;25.0167;Africa;Sudan/Libya;
Spitzkoppe;1784;-21.824722;15.194167;Africa;Namibia;
Krakadou;1745;-32.2333;19.0833;Africa;South Africa;
Wolfberg;1609;-32.45;19.2667;Africa;South Africa;Cape Ranges
Jebel Chaambi;1544;35.2167;8.63333;Africa;Tunisia;
Pondoks;1530;-22;15;Africa;Namibia;
Usambara Mountain;1524;45.005;65.53;Africa;Tanzania;Northeast Tanzania
Kranskop;1343;-24.7233;28.528;Africa;South Africa;
Table Mountain;1087;-33.95;18.4167;Africa;South Africa;Cape Ranges
Devil's Peak;1000;-33.9167;18.4167;Africa;South Africa;Cape Ranges
Mont Agou;986;6.866666;-0.75;Africa;Togo;
