name;elevation;latitude;longitude;continent;country;range
Vinson Massif;4897;-78.5833;-85.4167;Antarctica;Antarctica;Ellsworth Mountains
Mount Kirkpatrick;4528;-84.3333;166.417;Antarctica;Antarctica;
Mount Erebus;3794;-77.5333;167.15;Antarctica;Antarctica;Prince Albert-McMurdo
Martin's peak (Wideroefjellet);3050;-72.15023;23.26063;Antarctica;Antarctica;
Mount Francais;2760;-64.609749;-63.446045;Antarctica;Antarctica;
Mount Elkins;2300;-66.667;54.15;Antarctica;Antarctica;Wilkes Land Coast
Joris Peak;2120;-72.11234;23.2608;Antarctica;Antarctica;
Mariën Peak;1832;-71.87742;24.57225;Antarctica;Antarctica;
Mt Neel Roofthooft;1817;-72.0331;23.1167;Antarctica;Antarctica;
Mt Houttequiet;1798;-71.86266;24.69103;Antarctica;Antarctica;
Mt De Backer;1696;-71.84597;24.69186;Antarctica;Antarctica;
Robl Peak;1579;-71.87955;24.67864;Antarctica;Antarctica;
Mount Taylor;930;-63.429507;-57.122678;Antarctica;Antarctica;Antarctic Peninsula
