name;elevation;latitude;longitude;continent;country;range
Mount Everest;8850;27.9881;86.9253;Asia;Nepal/China;Central Nepal Himalaya
K2;8612;35.8825;76.5133;Asia;Pakistan/China;Karakoram 
Kangchenjunga;8586;27.7025;88.1483;Asia;Nepal/India;Sikkim-Eastern Nepal Himalaya
Lhotse;8516;27.9667;86.9333;Asia;Nepal/China;Central Nepal Himalaya
Kangchenjunga West;8505;27.705187;88.136616;Asia;Nepal;Sikkim-Eastern Nepal Himalaya
Makalu;8462;27.889915;87.089396;Asia;Nepal/China;Central Nepal Himalaya
Lhotse middle;8430;27.9667;86.95;Asia;China/Nepal;Central Nepal Himalaya
Lhotse Shar;8400;27.9667;86.95;Asia;Nepal;Central Nepal Himalaya
Cho Oyu;8201;28.094092;86.6608;Asia;Nepal;Central Nepal Himalaya
Dhaulagiri;8167;28.7;83.5;Asia;Nepal;Western Nepal Himalaya
Manaslu;8156;28.549959;84.559536;Asia;Nepal;Central Nepal Himalaya
Nanga Parbat;8125;35.248668;74.591804;Asia;Pakistan;Punjab Himalaya
Annapurna;8091;28.584823;83.989921;Asia;Nepal;Central Nepal Himalaya
Gasherbrum;8068;35.724845;76.69826;Asia;Pakistan;Karakoram 
Broad Peak;8047;35.8167;76.5667;Asia;Pakistan;Karakoram 
Gasherbrum II;8035;35.757831;76.653028;Asia;Pakistan;Karakoram 
Shisha Pangma;8013;28.35;85.7833;Asia;China;Central Nepal Himalaya
Gyachung Kang;7952;28.1;86.75;Asia;Nepal/China;Central Nepal Himalaya
Gasherbrum III;7952;35.759317;76.64161;Asia;Pakistan/China;Karakoram 
Annapurna 2;7937;28.534766;84.121799;Asia;Nepal;
Gasherbrum IV;7925;35.762359;76.615906;Asia;Pakistan/China;Karakoram 
Bei Tip;7912;35.44;78.37;Asia;Pakistan;Karakoram 
Distaghil Sar;7885;36.3333;75.1833;Asia;India;Karakoram 
Ngadi Chuli;7871;28.5033;84.5675;Asia;Nepal;Central Nepal Himalaya
Nuptse;7861;27.968479;86.883273;Asia;Nepal;Central Nepal Himalaya
Kangbachen;7858;27.7166;88.1105;Asia;Nepal;
Khiangyang Kish;7852;36.088159;75.121036;Asia;Pakistan;Karakoram 
Masherbrum;7821;35.642301;76.306658;Asia;Pakistan;Karakoram 
Chomo Lonzo;7818;27.93;87.108056;Asia;Nepal/China;Central Nepal Himalaya
Nanda Devi;7817;30.3833;79.9667;Asia;India;Garhwal Himalaya
Batura;7795;36.510326;74.522581;Asia;Pakistan;Karakoram 
Rakaposhi;7788;36.142311;74.489965;Asia;Pakistan;Karakoram 
Namche Barwa;7782;29.6667;95.1667;Asia;China;Assam Himalaya
Batura II;7762;36.3;74.31;Asia;Pakistan;Karakoram 
Kanjut Sar;7760;36.205;75.418333;Asia;Pakistan;Karakoram 
Kamet;7756;30.920278;79.593611;Asia;India/China;Garhwal Himalaya
Saltoro Kangri;7742;35.4003;76.8486;Asia;Pakistan;Karakoram 
Kongur;7719;38.6667;75.35;Asia;China;Kunlun
Jannu;7710;27.6828;88.0458;Asia;Nepal;Sikkim-Eastern Nepal Himalaya
Tirich Mir;7706;36.25;71.8333;Asia;Pakistan;Hindu Kush 
Gurla Mandhata;7694;30.2833;81.2833;Asia;China;Central Tibetan Plateau
Gurla Mandata;7694;30.4333;81.2833;Asia;China;
Sasir Kangri;7672;34.8667;77.75;Asia;India;Karakoram 
Chogolisa;7665;35.613279;76.574364;Asia;Pakistan;Karakoram 
Phola Gangchen (aka Molamenqing) (摩拉门青);7661;28.354998;85.809721;Asia;China;
Saipal;7619;27.8333;81.0333;Asia;Nepal;Western Nepal Himalaya
Shisper Pak;7611;36.423759;74.653398;Asia;Pakistan;
Gongga Shan;7596;29.1333;103.333;Asia;China;West Sichuan Ranges
Changtse;7580;28.0253;86.9142;Asia;China;Central Nepal Himalaya
Gangkar Punsum;7570;28.03;90.27;Asia;Bhutan/China;Bhutan Himalaya
Minya Konka;7556;29.5667;101.883;Asia;China;West Sichuan Ranges
Muztagh Ata;7546;38.2833;75.1167;Asia;China;Kunlun
Skyang Kangri;7545;35.9264;76.5675;Asia;China;Karakoram 
Gangapurna;7545;28.605339;83.963475;Asia;Nepal;Central Nepal Himalaya
Kula Kangri;7538;28.2333;90.6;Asia;Bhutan;Bhutan Himalaya
Mamostong Kangri - I;7516;35.14083;77.5775;Asia;India;
Pik Imeni Ismail Samani;7495;38.95;72.0167;Asia;Tajikistan;Pamir
Noshaq;7492;36.4333;71.9;Asia;Afghanistan;Hindu Kush 
Malubiting;7458;36.003068;74.876286;Asia;Pakistan;Karakoram 
Pik Pobeda;7439;42.05;80.1833;Asia;Kyrgyzstan/China;Central Tien Shan
Ganesh Himal;7429;28.391551;85.126963;Asia;Nepal/China;Central Nepal Himalaya
Sia Kangri;7422;35.663259;76.761861;Asia;Pakistan;Karakoram 
kunyang chhish;7410;36.205;75.2065;Asia;Pakistan/Pakistan;Karakoram 
Haramosh Peak;7409;35.840221;74.89749;Asia;Pakistan;Karakoram 
Haramosh Kutwal Galli;4800;35.7167;74.1667;Asia;Pakistan;Karakoram 
Sherpi Kangri;7380;35.466542;76.782074;Asia;Pakistan;Karakoram 
Chamlang;7319;27.775456;86.97979;Asia;Nepal;Central Nepal Himalaya
Skil Brum;7360;35.8535;76.4217;Asia;Pakistan;
Cho Aui (Nangpai Gosum I);7351;28.073798;86.613979;Asia;China/Nepal;Central Nepal Himalaya
Saraghrar;7349;36;71;Asia;Pakistan;Hindu Kush 
Kabru;7317;27.635;88.118333;Asia;Nepal/India;Sikkim-Eastern Nepal Himalaya
Chomolhari;7314;27.8333;89.2667;Asia;Bhutan/China;Bhutan Himalaya
Baintha Brakk;7285;35.947717;75.753822;Asia;Pakistan;Karakoram 
K-6 Baltistan Peak;7282;35.25;76.33;Asia;Pakistan;
Istor-o-Nal;7276;36.386944;71.889167;Asia;Pakistan;Hindu Kush 
Muztagh Tower;7273;35.8283;76.3608;Asia;Pakistan;Karakoram 
Diran Peak;7266;36.1167;74.6667;Asia;Pakistan;
Baltoro Kangri;7265;76.6697;35.648;Asia;Pakistan;
Langtang Lirung;7227;28.256111;85.519444;Asia;Nepal;Central Nepal Himalaya
Khartaphu;7227;28.05;86.9667;Asia;China;Central Nepal Himalaya
Baruntse;7220;27.871636;86.980043;Asia;Nepal;Central Nepal Himalaya
Annapurna South;7219;28.518629;83.805857;Asia;Nepal;Central Nepal Himalaya
Singhi Kangri;7207;35.599846;76.983647;Asia;Pakistan/India;Karakoram 
Nojinkangsang;7206;28.9333;90.1667;Asia;China;
Langtang Ri;7205;28.381389;85.683611;Asia;China/Nepal;Central Nepal Himalaya
Menlungtse;7181;27.972004;86.432662;Asia;China;Central Nepal Himalaya
Melungtse;7181;27.9667;86.4333;Asia;China/Nepal;
Pumori;7161;28.015783;86.827927;Asia;Nepal;Central Nepal Himalaya
Chaukhamba 1;7138;30.7333;79.2833;Asia;India;Garhwal Himalaya
Nun Kun;7135;33.98077;76.020584;Asia;India;Punjab Himalaya
Pik Lenin;7134;39.3333;72.9167;Asia;Tajikistan;Pamir
Gauri Sankar;7134;27.9667;86.3333;Asia;China/Nepal;
Api;7132;30;80.9333;Asia;Nepal;Western Nepal Himalaya
Trisul;7120;30.3167;79.7833;Asia;India;Garhwal Himalaya
Pik Korjenevskaya;7105;39.057;72.01;Asia;Tajikistan;Pamir
Baltistan Peak;7100;35.418426;76.551631;Asia;Pakistan;
Shachaur;7084;36.55;71.9667;Asia;Afghanistan/Pakistan;Hindu Kush 
Loengpogang;7083;28.2;85.8;Asia;Nepal;Central Nepal Himalaya
Kun;7077;34.012807;76.056992;Asia;India;Punjab Himalaya
Dunagiri;7066;30.6666;79.8666;Asia;India;Garhwal Himalaya
Nilgiri;7061;28.689528;83.744206;Asia;Nepal;Central Nepal Himalaya
Lhakpa Ri;7045;28.037811;86.969831;Asia;China/Nepal;
Link Sar;7041;35.42207;76.302795;Asia;Pakistan;Karakoram 
Ratna Chuli;7035;28.85;84.3667;Asia;China/Nepal;
