name;elevation;latitude;longitude;continent;country;range
Puncak Jaya;4884;-4.08333;137.183;Australia/Oceania;Indonesia;Maoke Range
Puncak Mandala;4760;-4.708611;140.289167;Australia/Oceania;Indonesia;Maoke Range
Puncak Trikora;4730;-4.247641;138.750501;Australia/Oceania;Indonesia;Maoke Range
Mount Wilhelm;4509;-5.779966;145.029316;Australia/Oceania;Papua New Guinea;
Mount Giluwe;4367;-6.03333;143.883;Australia/Oceania;Papua New Guinea;
Mount Salawaket Mount Bangeta;4121;-6.314966;147.088094;Australia/Oceania;Papua New Guinea;Western New Guinea Peninsula
Mount Victoria;4073;-8.91667;147.5;Australia/Oceania;Papua New Guinea;Owen Stanley Range
Mt. Hagen;3790;-5.66667;144;Australia/Oceania;Papua New Guinea;
Aoraki/Mount Cook;3754;-43.594934;170.141895;Australia/Oceania;New Zealand;South Island
Mount Tasman;3498;-43.5667;170.15;Australia/Oceania;New Zealand;South Island
Mount Haast;3140;-43.559881;170.178152;Australia/Oceania;New Zealand;South Island
Mount Aspiring;3027;-44.3833;168.733;Australia/Oceania;New Zealand;South Island
Mt Tapuaenuku;2885;-41.9833;173.65;Australia/Oceania;New Zealand;South Island
Earnslaw;2830;-45.6167;168.4;Australia/Oceania;New Zealand;South Island
Mount Nathan;2804;-43.583333;170.283333;Australia/Oceania;New Zealand;South Island
Ruapehu;2796;-39.289804;175.561523;Australia/Oceania;New Zealand;North Island
Mawson Peak;2745;-53.098147;73.521881;Australia/Oceania;Australia;
Mt Aylmer;2699;-43.5167;170.367;Australia/Oceania;New Zealand;South Island
Mount Egmont (Taranaki);2518;-39.3;174.067;Australia/Oceania;New Zealand;North Island
Mt Popomaneseu;2340;-9.70359;160.06219;Australia/Oceania;Solomon Islands;Solomon Islands
Turner peak;2338;-43.639802;170.147324;Australia/Oceania;New Zealand;
Mount Rolleston;2275;-42.9167;171.5;Australia/Oceania;New Zealand;South Island
Mount Kosciusko;2228;-36.45;148.267;Australia/Oceania;Australia;South NSW Great Dividing Range
Carruthers Peak;2145;-36.408611;148.291111;Australia/Oceania;Australia;
Mount Tate;2068;-36.4167;148.25;Australia/Oceania;Australia;South NSW Great Dividing Range
Big Bogong;2061;-36.25;148.5;Australia/Oceania;Australia;South NSW Great Dividing Range
Mount Domett;1942;-44.866333;170.370312;Australia/Oceania;New Zealand;South Island
Bimberi;1912;-35.5719;148.692;Australia/Oceania;Australia;
Mount Hotham;1862;-36.975267;147.128069;Australia/Oceania;Australia;Victoria Alps
Mount McKay;1842;-36.874722;147.242222;Australia/Oceania;Australia;Victoria Alps
Mount Cope;1837;-36.933685;147.27683;Australia/Oceania;Australia;Victoria Alps
Mount Pilot;1828;-37.5;148.667;Australia/Oceania;Australia;South NSW Great Dividing Range
