name;elevation;latitude;longitude;continent;country;range
Mount Elbrus;5642;43.355;42.4392;Europe;Russia;Central Caucasus
Dykh-Tau;5204;43.05;43.1333;Europe;Russia;Central Caucasus
Koshtan-Tau;5144;43.05;43.2167;Europe;Georgia/Russia;Central Caucasus
Kazbek;5047;42.696851;44.518533;Europe;Georgia;Central Caucasus
Shota Rustaveli Peak;4960;43.025833;43.043611;Europe;Georgia/Russia;
Gistola;4860;42.95;43.1167;Europe;Georgia;Central Caucasus
Tetnuldi;4853;44.1;42.15;Europe;Georgia;
Mont Blanc;4807;45.832866;6.864824;Europe;France;Savoy Alps
Mont Blanc de Courmayeur;4748;45.828889;6.869444;Europe;Italy/France;Savoy Alps
Ushba;4710;43.1333;42.6667;Europe;Georgia;Central Caucasus
Monte Rosa;4633;45.937028;7.867623;Europe;Italy/Switzerland;Pennine Alps
Dufourspitze;4634;45.937029;7.867623;Europe;Switzerland;Pennine Alps
Ostspitze;4632;45.936854;7.867399;Europe;Switzerland;Pennine Alps
Grenzgipfel;4618;45.936798;7.868086;Europe;Switzerland;Pennine Alps
Nordend;4609;45.942042;7.870045;Europe;Switzerland/Italy;Pennine Alps
Zumsteinspitze;4563;45.931901;7.871468;Europe;Switzerland/Italy;Pennine Alps
Signalkuppe;4556;45.927125;7.877026;Europe;Switzerland;Pennine Alps
Ailama;4547;42.8667;43.2333;Europe;Georgia;Central Caucasus
Dom;4545;46.09256;7.858926;Europe;Switzerland;Pennine Alps
Liskamm;4527;45.9225;7.835556;Europe;Switzerland/Italy;Pennine Alps
Lyskamm;4527;45.922498;7.835569;Europe;Switzerland/Italy;
Weisshorn;4504;46.101348;7.716327;Europe;Switzerland;Pennine Alps
Tebulo;4495;42.6833;45.3167;Europe;Georgia;Eastern Caucasus
Taschhorn;4490;46.083144;7.857199;Europe;Switzerland;Pennine Alps
Matterhorn;4478;45.976389;7.658333;Europe;Switzerland/Italy;Savoy Alps
Suatisi;4466;42.6833;44.4167;Europe;Georgia;Central Caucasus
Bazarduzu;4466;41.220556;47.857778;Europe;Azerbaijan/Russia;Eastern Caucasus
Mont Maudit;4465;45.85;6.88333;Europe;France;Savoy Alps
Chanchakhi;4462;42.8833;43.3333;Europe;Georgia;Central Caucasus
Babis Mta;4454;42.8833;43.4;Europe;Georgia/Russia;Central Caucasus
Shan;4451;42.6667;44.75;Europe;Georgia;Eastern Caucasus
Parrotspitze;4432;45.919722;7.871389;Europe;Switzerland/Italy;Pennine Alps
Chatini;4412;43.2167;42.8333;Europe;Georgia;Central Caucasus
Shkhelda;4368;43.0333;43.25;Europe;Georgia;Central Caucasus
Dent Blanche;4356;46.034283;7.611906;Europe;Switzerland;
Nadelhorn;4327;46.10875;7.864167;Europe;Switzerland;Pennine Alps
Schwarzhorn;4322;45.916109;7.866667;Europe;Italy;Pennine Alps
Grand Combin;4314;45.937228;7.298906;Europe;Switzerland;Pennine Alps
Dôme du Goûter;4304;45.837889;6.853237;Europe;France;
Lenzspitze;4294;46.104639;7.868444;Europe;Switzerland;Pennine Alps
Finsteraarhorn;4273;46.5333;8.13333;Europe;Switzerland;Berner Oberland
Stecknadelhorn;4241;46.111528;7.859667;Europe;Switzerland;
Castor;4228;45.920916;7.793384;Europe;Switzerland/Italy;Pennine Alps
Zinalrothorn;4221;46.063544;7.690044;Europe;Switzerland;Pennine Alps
Hohberghorn;4219;46.112531;7.853868;Europe;Switzerland;Pennine Alps
Vincent Piramide;4215;45.908585;7.860374;Europe;Italy;Pennine Alps
Grandes Jorasses;4208;45.8667;6.98333;Europe;France;Savoy Alps
Alphubel;4206;46.062257;7.864389;Europe;Switzerland;Pennine Alps
Rimpfischhorn;4199;46.023134;7.884015;Europe;Switzerland;Pennine Alps
Aletschhorn;4195;46.4667;7.98333;Europe;Switzerland;Berner Oberland
Strahlhorn;4190;46.013327;7.901831;Europe;Switzerland;Pennine Alps
Dent d' Hérens;4171;45.969953;7.605109;Europe;Switzerland;
Balmenhorn;4167;45.915751;7.866667;Europe;Italy;Pennine Alps
Breithorn;4164;45.939627;7.754101;Europe;Switzerland/Italy;Pennine Alps
