name;elevation;latitude;longitude;continent;country;range
Denali;6194;63.0694;-151.004;North America;United States;Alaska Range
Mount Logan;5959;60.5667;-140.4;North America;Canada;Saint Elias Mountains
Pico de Orizaba;5610;19.0167;-97.2667;North America;Mexico;Cordillera Neovolcanica
Mount Saint Elias;5489;60.2933;-140.929;North America;United States;Saint Elias Mountains
Popocatepetl;5452;19.0333;-98.6333;North America;Mexico;Cordillera Neovolcanica
Mount Foraker;5304;62.9608;-151.398;North America;United States;Alaska Range
Iztaccihuatl;5286;19.1833;-98.6333;North America;Mexico;Cordillera Neovolcanica
Mount Lucania;5226;61.0167;-140.467;North America;Canada;Saint Elias Mountains
King Peak;5173;60.5825;-140.653;North America;Canada;Saint Elias Mountains
Mount Steele;5073;61.093114;-140.311117;North America;United States;
Bona;5005;61.3856;-141.749;North America;United States;
Mount Blackburn;4996;61.7317;-143.433;North America;United States;Wrangell Mountains
Mount Sanford;4949;62.2139;-144.129;North America;United States;Wrangell Mountains
Mount Wood;4842;61.2327;-140.5119;North America;Canada;Saint Elias Mountains
Mount Vancouver;4809;60.333333;-139.683333;North America;Canada;Saint Elias Mountains
Mount Fairweather;4663;58.9072;-137.527;North America;United States;Saint Elias Mountains
Téyotl;4660;19.198594;-98.64006;North America;Mexico;Cordillera Neovolcanica
Nevado de Toluca;4632;19.101667;-99.7675;North America;Mexico;Sierra Madre Occidental
Mount Bear;4521;61.2667;-141.167;North America;United States;Saint Elias Mountains
Nevado de Colima;4450;19.55;-103.633;North America;Mexico;Cordillera Neovolcanica
Mount Hunter;4442;62.9508;-151.089;North America;United States;Alaska Range
Mount Whitney;4418;36.578523;-118.292327;North America;United States;Sierra Nevada
Mount Elbert;4399;39.1178;-106.445;North America;United States;Sawatch Range
Mount Massive;4398;39.1872;-106.475;North America;United States;Sawatch Range
Mount Harvard;4390;38.9244;-106.32;North America;United States;Sawatch Range
Mount Rainier;4392;46.8528;-121.759;North America;United States;Cascade Range
Mount Williamson;4380;36.6561;-118.31;North America;United States;Sierra Nevada
Blanca Peak;4372;37.5772;-105.485;North America;United States;Sangre de Cristo Range
La Plata Peak;4370;39.0294;-106.473;North America;United States;Sawatch Range
Uncompahgre Peak;4361;38.0717;-107.461;North America;United States;San Juan Mountains
Crestone Peak;4357;37.9667;-105.585;North America;United States;Sangre de Cristo Range
Mount Lincoln;4354;39.3514;-106.111;North America;United States;Central Colorado Ranges
Grays Peak;4350;39.6339;-105.817;North America;United States;Front Range
Mount Antero;4349;38.656;-106.239;North America;United States;Sawatch Range
Torreys Peak;4349;39.6428;-105.821;North America;United States;Front Range
Quandary Peak;4348;39.3972;-106.106;North America;United States;Central Colorado Ranges
Castle Peak;4348;39.0097;-106.861;North America;United States;Elk Range Area
Mount Evans;4350;39.5886;-105.643;North America;United States;Front Range
Keeler Needle;4347;36.6167;-118.367;North America;United States;Sierra Nevada
Longs Peak;4346;40.2547;-105.615;North America;United States;Front Range
Mount Wilson;4342;37.8392;-107.991;North America;United States;San Juan Mountains
White Mountain Peak;4342;37.6344;-118.255;North America;United States;Great Basin Ranges
North Palisade;4341;37.0939;-118.522;North America;United States;Sierra Nevada
Mount Cameron;4340;39.3469;-106.118;North America;United States;
Mount Shavano;4337;38.6189;-106.239;North America;United States;Sawatch Range
Polemonium Peak;4328;37.0833;-118.517;North America;United States;Sierra Nevada
Starlight Peak;4328;37.094167;-118.5142;North America;United States;Sierra Nevada
Crestone Needle;4327;37.9647;-105.576;North America;United States;Sangre de Cristo Range
Mount Princeton;4327;38.7494;-106.242;North America;United States;Sawatch Range
Mount Belford;4327;38.9606;-106.361;North America;United States;Sawatch Range
Mount Yale;4327;38.8442;-106.313;North America;United States;Sawatch Range
Mount Bross;4320;39.3353;-106.107;North America;United States;Central Colorado Ranges
Kit Carson Mountain;4318;37.9797;-105.602;North America;United States;Sangre de Cristo Range
Mount Wrangell;4317;62.0069;-144.016;North America;United States;Wrangell Mountains
Mount Shasta;4317;41.409357;-122.195048;North America;United States;Cascade Range
El Diente;4316;37.8394;-108.005;North America;United States;San Juan Mountains
Maroon Bells;4315;39.0708;-106.989;North America;United States;Elk Range Area
Tabeguache Peak;4314;38.6253;-106.25;North America;United States;Sawatch Range
Mount Sill;4314;37.0944;-118.502;North America;United States;Sierra Nevada
Mount Oxford;4314;38.9647;-106.338;North America;United States;Sawatch Range
Mount Sneffels;4313;38.0033;-107.792;North America;United States;San Juan Mountains
Mount Democrat;4312;39.3397;-106.139;North America;United States;Central Colorado Ranges
Capitol Peak;4307;39.1503;-107.082;North America;United States;Elk Range Area
Pikes Peak;4300;38.8406;-105.044;North America;United States;Front Range
Snowmass Mountain;4290;39.1189;-107.066;North America;United States;Elk Range Area
Mount Russell;4293;36.5908;-118.288;North America;United States;Sierra Nevada
Mount Eolus;4293;37.6228;-107.621;North America;United States;San Juan Mountains
Windom Peak;4292;37.6214;-107.591;North America;United States;San Juan Mountains
Challenger Point;4292;37.9803;-105.606;North America;United States;Sangre de Cristo Range
Mount Columbia;4290;38.9039;-106.297;North America;United States;Sawatch Range
Mt. Augusta;4289;60.302985;-140.455849;North America;Canada/United States;Saint Elias Mountains
Missouri Mountain;4288;38.9472;-106.378;North America;United States;Sawatch Range
Humboldt Peak;4287;37.9761;-105.555;North America;United States;Sangre de Cristo Range
Mount Bierstadt;4286;39.5828;-105.668;North America;United States;Front Range
Conundrum Peak;4285;39.014266;-106.863799;North America;United States;Elk Range Area
Sunlight Peak;4285;37.6272;-107.595;North America;United States;San Juan Mountains
Split Mountain;4285;37.0167;-118.417;North America;United States;Sierra Nevada
Handies Peak;4282;37.9131;-107.504;North America;United States;San Juan Mountains
Culebra Peak;4282;37.1222;-105.185;North America;United States;Sangre de Cristo Range
Mount Lindsey;4280;37.5847;-105.44;North America;United States;Sangre de Cristo Range
Ellingwood Point;4280;37.5825;-105.492;North America;United States;Sangre de Cristo Range
Middle Palisade;4279;37.0667;-118.467;North America;United States;Sierra Nevada
Little Bear Peak;4279;37.5667;-105.497;North America;United States;Sangre de Cristo Range
Mount Sherman;4278;39.225;-106.169;North America;United States;Central Colorado Ranges
Redcloud Peak;4278;37.9408;-107.421;North America;United States;San Juan Mountains
Mount Langley;4275;36.5167;-118.3;North America;United States;Sierra Nevada
North Maroon Peak;4273;39.076;-106.9871;North America;United States;Elk Range Area
Pyramid Peak;4273;39.0714;-106.95;North America;United States;Elk Range Area
Mount Tyndall;4273;36.65;-118.333;North America;United States;Sierra Nevada
Wilson Peak;4272;37.8603;-107.984;North America;United States;San Juan Mountains
Wetterhorn Peak;4272;38.0606;-107.51;North America;United States;San Juan Mountains
San Luis Peak;4272;37.9869;-106.931;North America;United States;San Juan Mountains
Mount Muir;4271;36.564743;-118.291253;North America;United States;Sierra Nevada
Mount of the Holy Cross;4269;39.4681;-106.479;North America;United States;Sawatch Range
Huron Peak;4268;38.9453;-106.438;North America;United States;Sawatch Range
Sunshine Peak;4268;37.9228;-107.425;North America;United States;San Juan Mountains
Thunderbolt Peak;4267;37.0981;-118.517;North America;United States;Sierra Nevada
Grizzly Peak;4264;39.0425;-106.597;North America;United States;Sawatch Range
Mount Humphreys;4263;37.2706;-118.673;North America;United States;Sierra Nevada
Stewart Peak;4262;38.0233;-106.923;North America;United States;San Juan Mountains
Mount Ouray;4258;38.4225;-106.225;North America;United States;Sawatch Range
Fletcher Mountain;4252;39.4033;-106.128;North America;United States;Central Colorado Ranges
Ice Mountain;4346;38.9149;-106.437;North America;United States;Sawatch Range
Cathedral Peak;4250;39.0333;-106.85;North America;United States;Elk Range Area
Mount French;4249;39.1286;-106.482;North America;United States;Sawatch Range
Mount Hope;4247;39.0211;-106.4192;North America;United States;Sawatch Range
Norman Clyde Peak;4243;37.075;-118.472;North America;United States;Sierra Nevada
Mount Irvine;4241;36.5558;-118.262;North America;United States;Sierra Nevada
Mount Meeker;4240;40.2486;-105.604;North America;United States;Front Range
Horseshoe Mountain;4236;39.1858;-106.185;North America;United States;Central Colorado Ranges
Mount Agassiz;4235;37.1117;-118.53;North America;United States;Sierra Nevada
Vestal Peak;4226;37.6894;-107.602;North America;United States;
California Peak;4221;37.6167;-105.5;North America;United States;Sangre de Cristo Range
Tajumulco;4220;15.043384;-91.903589;North America;Guatemala;Guatemala Ranges
Mount Edwards;4217;39.636389;-105.793889;North America;United States;Front Range
Mount Hayes;4216;63.62;-146.716;North America;United States;Alaska Range
Mount Darwin;4216;37.1669;-118.671;North America;United States;Sierra Nevada
Un 13,828;4215;37.600578;-105.447806;North America;United States;Sangre de Cristo Range
Mount Silverheels;4213;39.3392;-106.005;North America;United States;Central Colorado Ranges
Rio Grande Pyramid;4213;37.6797;-107.392;North America;United States;San Juan Mountains
Gannett Peak;4207;43.1844;-109.653;North America;United States;Wind River Range
Mauna Kea;4205;19.8236;-155.471;North America;United States;
Rinker Peak;4201;39.037;-106.439;North America;United States;Sawatch Range
Mount Winchell;4199;37.1033;-118.525;North America;United States;Sierra Nevada
Grand Teton;4197;43.7411;-110.802;North America;United States;Teton Range - Yellowstone Area
Mount Cook;4196;60.1836;-139.968;North America;United States/Canada;Saint Elias Mountains
Mount Sheridan;4190;39.2092;-106.184;North America;United States;
Mount Morgan (South);4190;37.4;-119.25;North America;United States;Sierra Nevada
