name;elevation;latitude;longitude;continent;country;range
Aconcagua;6962;-32.653359;-70.011234;South America;Argentina;Central Argentina-Chile
Ojos del Salado;6893;-27.109524;-68.540869;South America;Chile/Argentina;Central Argentina-Chile
Cerro Bonete;6872;-28.0167;-68.7667;South America;Argentina;Central Argentina-Chile
Monte Pissis;6779;-27.7833;-68.85;South America;Argentina;Central Argentina-Chile
Mercedario;6770;-31.9833;-70.1167;South America;Argentina;Central Argentina-Chile
Huascaran;6768;-9.121504;-77.604246;South America;Peru;Peruvian Andes
Llullaillaco;6723;-24.7167;-68.55;South America;Argentina;Central Argentina-Chile
Yerupaja;6634;-10.2667;-76.9;South America;Peru;Peruvian Andes
Tupungato;6550;-33.3667;-69.7833;South America;Argentina;Central Argentina-Chile
Sajama;6542;-18.108003;-68.883076;South America;Bolivia;Bolivian Andes
El Muerto;6488;-27.0575;-68.483889;South America;Chile/Argentina;Puna de Atacama
Illimani;6460;-16.636932;-67.787747;South America;Bolivia;Bolivian Andes
Ancohuma;6430;-15.85427;-68.541641;South America;Bolivia;Bolivian Andes
Coropuna;6425;-15.5203;-72.6572;South America;Peru;Peruvian Andes
Huandoy;6395;-9.027636;-77.663341;South America;Peru;Peruvian Andes
Huantsan;6395;-9.53333;-77.3;South America;Peru;Peruvian Andes
Ausangate;6384;-13.7881;-71.2308;South America;Peru;Peruvian Andes
Illampu;6362;-15.815997;-68.543358;South America;Bolivia;Bolivian Andes
Chopicalqui;6354;-9.08718;-77.573905;South America;Peru;Peruvian Andes
Nevado Parinacota;6342;-18.163184;-69.142977;South America;Chile/Bolivia;Bolivian Andes
Plata;6315;-33.0167;-69.4167;South America;Argentina;Central Argentina-Chile
Ampato;6288;-15.816667;-71.883333;South America;Peru;Peruvian Andes
Salcantay;6271;-13.333085;-72.545214;South America;Peru;Peruvian Andes
Chimborazo;6268;-1.469175;-78.817034;South America;Ecuador;Ecuador Andes
Pomerape;6265;-18.125833;-69.1275;South America;Chile;Central Argentina-Chile
Nevados De Famatina;6250;-29.0333;-67.8167;South America;Argentina;Central Argentina-Chile
Sierra De Famatina;6250;-29.0333;-67.8167;South America;Argentina;Central Argentina-Chile
Aucanquilcha;6176;-21.2167;-68.4667;South America;Chile;Central Argentina-Chile
Copa Norte;6173;-9.26729;-77.481638;South America;Peru;Peruvian Andes
Ranrapalca;6162;-9.41667;-77.4;South America;Peru;Peruvian Andes
Huandoy Sur;6160;-9.035816;-77.669477;South America;Peru;Peruvian Andes
Cerro de las Tortolas;6160;-29.928755;-69.910126;South America;Chile/Argentina;
San Pedro;6145;-21.887784;-68.391094;South America;Chile;Bolivian Andes
Chearocko;6127;-15.950715;-68.413564;South America;Bolivia;Bolivian Andes
Jirishanca;6126;-10.3297;-76.4319;South America;Peru;Peruvian Andes
Marmolejo;6110;-33.73484;-69.878124;South America;Chile;Central Argentina-Chile
Huayna Potosi;6094;-16.2667;-68.1833;South America;Bolivia;Bolivian Andes
Nevado Solimana;6093;-15.41;-72.8936;South America;Peru;Peruvian Andes
Pumasillo;6070;-13.177526;-73.008099;South America;Peru;Peruvian Andes
Guallatiri (volcàn);6063;-18.416397;-69.083448;South America;Chile;Bolivian Andes
Chachani;6057;-16.191;-71.53;South America;Peru;Peruvian Andes
Acotango;6052;-18.383;-69.05;South America;Bolivia/Chile;Bolivian Andes
Yayamari;6049;-13.767064;-70.981636;South America;Peru;Peruvian Andes
Quitaraju;6040;-8.89847;-77.665272;South America;Peru;Peruvian Andes
Tocllaraju;6032;-9.347222;-77.396944;South America;Peru;Peruvian Andes
Artesonraju;6025;-8.95;-77.633333;South America;Peru;Peruvian Andes
Cerro San Francisco;6018;-26.9186;-68.2631;South America;Chile/Argentina;Puna de Atacama
Sairecabur;5978;-22.716667;-67.891667;South America;Bolivia/Chile;Bolivian Andes
Ameghino;5970;-32.628099;-69.977074;South America;Argentina;Central Argentina-Chile
Nevado De Acay;5950;-24.3833;-66.1667;South America;Argentina;Central Argentina-Chile
Alpamayo;5947;-8.878203;-77.654371;South America;Peru;Peruvian Andes
Cotopaxi;5897;-0.680556;-78.437778;South America;Ecuador;Ecuador Andes
Comandante Cabot;5879;-30.33021;-69.82353;South America;Argentina;Central Argentina-Chile
Ollague;5869;-21.302222;-68.179167;South America;Chile;Central Argentina-Chile
Mururata;5865;-16.5;-67.833333;South America;Bolivia;Bolivian Andes
Taapaca;5860;-18.181409;-69.589462;South America;Chile;Bolivian Andes
El Misti;5822;-16.3;-71.4;South America;Peru;Peruvian Andes
Nevado Veronica;5822;-13.1772;-72.3847;South America;Peru;Peruvian Andes
Cayambe;5790;0.025105;-77.989197;South America;Ecuador;Ecuador Andes
Chilques;5778;-23.580665;-67.70196;South America;Chile;Central Argentina-Chile
Pico Cristobal Colon;5775;10.838575;-73.686762;South America;Colombia;Colombian Andes
Antisana;5758;-0.481389;-78.1408;South America;Ecuador;Ecuador Andes
Nevado de Huila;5750;3;-76;South America;Colombia;Colombian Andes
Pariacaca;5750;-11.96649;-76.050668;South America;Peru;Peruvian Andes
Shaqsha;5703;-9.586063;-77.365799;South America;Peru;Peruvian Andes
Vallunaraju;5686;-9.51667;-77.5333;South America;Peru;Peruvian Andes
Volcan Ubinas;5672;-16.348576;-70.902283;South America;Peru;Peruvian Andes
Picchu Picchu;5664;-16.4414;-71.2533;South America;Peru;Peruvian Andes
Condoriri;5648;-16.168269;-68.242693;South America;Bolivia;Bolivian Andes
Lascar;5641;-23.365203;-67.737146;South America;Chile;Central Argentina-Chile
Cerro Toco;5604;-22.947607;-67.778287;South America;Chile;Central Argentina-Chile
Serkhe Khollu;5546;-16.392161;-67.940784;South America;Bolivia;Bolivian Andes
Nevado Jacha Huaracha;5540;-14.87;-69.122801;South America;Bolivia;Bolivian Andes
Cerro Tapado;5536;-30.143686;-69.932604;South America;Chile;Central Argentina-Chile
Cerro Piramide;5520;-33.5333;-69.8667;South America;Chile;Central Argentina-Chile
Jankho Huyo;5512;-16.051062;-68.323589;South America;Bolivia;Bolivian Andes
Cerro Cuerno;5462;-32.681005;-69.791758;South America;Argentina;Central Argentina-Chile
Yanapaccha;5460;-9.027054;-77.576652;South America;Peru;Peruvian Andes
Tolosa;5432;-32.769657;-70.031583;South America;Argentina;Central Argentina-Chile
El Plomo;5430;-33.2667;-70.2333;South America;Chile;Central Argentina-Chile
Hati Khollu;5421;-16.431907;-67.941159;South America;Bolivia;
Chacaltaya;5395;-16.347115;-68.127784;South America;Bolivia;Bolivian Andes
Culin Thojo (cerro);5368;-16.086674;-68.310267;South America;Bolivia;Bolivian Andes
Cerro Mullu Apachita;5368;-16.1167;-68.3;South America;Bolivia;Bolivian Andes
Cerro Rincón;5364;-32.968581;-69.430106;South America;Argentina;Central Argentina-Chile
Cerro Alto Rio Blanco;5350;-32.926932;-70.025063;South America;Argentina;Central Argentina-Chile
Ritacuba Blanco;5350;6.494167;-72.2975;South America;Colombia;Colombian Andes
Ritak' Uwa Blanco (Ritacuba Blanco);5330;6.5;-72.3167;South America;Colombia;Colombian Andes
Japa Japani Oeste;5330;-16.414186;-67.988892;South America;Bolivia;Bolivian Andes
Pico Austria;5328;-16.189753;-68.2575;South America;Bolivia;Bolivian Andes
Maparaju;5326;-9.45;-77.303333;South America;Peru;Peruvian Andes
Wila Manquilisani;5324;-16.312366;-68.079058;South America;Bolivia;Bolivian Andes
Nevado del Ruiz;5320;4.88333;-75.3667;South America;Colombia;Colombian Andes
El Altar;5320;-1.664277;-78.411484;South America;Ecuador;Ecuador Andes
Vicos;5315;-9.29177;-77.485844;South America;Peru;Peruvian Andes
Milpocraju;5300;-9.377226;-77.384992;South America;Peru;Peruvian Andes
Iliniza Sur;5248;-0.659444;-78.713611;South America;Ecuador;Ecuador Andes
Wila Llojeta;5245;-16.067064;-68.292347;South America;Bolivia;Bolivian Andes
Sangay;5230;-2.004853;-78.341274;South America;Ecuador;Ecuador Andes
Volcan Bertrand;5225;-26.834104;-68.163171;South America;Argentina/Chile;Central Argentina-Chile
Jallayco;5224;-16.208381;-68.233295;South America;Bolivia;Bolivian Andes
Cerro Khasiri;5224;-16.450572;-67.938149;South America;Bolivia;Bolivian Andes
Nevado del Tolima;5215;4.67;-75.33;South America;Colombia;Colombian Andes
Santa Isabel;5210;4.82;-75.37;South America;Colombia;Colombian Andes
Cerro Tunari;5200;-17.285438;-66.392291;South America;Bolivia;Bolivian Andes
Colorado;5200;-32.970364;-69.429817;South America;Argentina;Central Argentina-Chile
Cerro Sosneado;5189;-34.75;-69.9833;South America;Argentina;Central Argentina-Chile
Blanco;5127;-32.898847;-69.425957;South America;Argentina;Central Argentina-Chile
Cuchillo Khuno;5120;-16.198737;-68.261791;South America;Bolivia;Bolivian Andes
